sale_id,item_id,item_name,price,quantity
1,3,味噌ラーメン,850,1
1,6,餃子,300,1
2,4,塩ラーメン,800,1
2,6,餃子,300,1
2,13,コーラ,250,1
3,2,チャーシューメン,1000,1
3,7,唐揚げ,400,1
3,20,チーズトッピング,150,1
4,3,味噌ラーメン,850,1
4,7,唐揚げ,400,1
4,12,ウーロン茶,250,1
4,20,チーズトッピング,150,1
5,1,ラーメン,800,1
6,5,チャーハン,750,1
6,10,ビール（大）,700,1
7,3,味噌ラーメン,850,1
8,3,味噌ラーメン,850,1
8,7,唐揚げ,400,1
8,11,ハイボール,450,1
9,2,チャーシューメン,1000,1
9,12,ウーロン茶,250,1
9,19,バター,100,1
10,3,味噌ラーメン,850,1
10,14,ライス（小）,150,1
11,1,ラーメン,800,1
11,8,枝豆,250,1
11,19,バター,100,1
12,2,チャーシューメン,1000,1
12,6,餃子,300,1
12,19,バター,100,1
13,3,味噌ラーメン,850,1
13,6,餃子,300,1
13,14,ライス（小）,150,1
14,2,チャーシューメン,1000,1
14,17,半熟卵,100,1
15,3,味噌ラーメン,850,1
15,19,バター,100,1
16,3,味噌ラーメン,850,1
16,11,ハイボール,450,1
16,17,半熟卵,100,1
17,3,味噌ラーメン,850,1
17,14,ライス（小）,150,1
18,5,チャーハン,750,1
18,10,ビール（大）,700,1
18,20,チーズトッピング,150,1
19,3,味噌ラーメン,850,1
19,6,餃子,300,1
20,1,ラーメン,800,1
20,8,枝豆,250,1
20,17,半熟卵,100,1
21,2,チャーシューメン,1000,1
21,7,唐揚げ,400,1
21,18,コーン,100,1
22,5,チャーハン,750,1
23,3,味噌ラーメン,850,1
23,8,枝豆,250,1
23,14,ライス（小）,150,1
24,2,チャーシューメン,1000,1
24,9,ビール（中）,500,1
24,14,ライス（小）,150,1
25,2,チャーシューメン,1000,1
25,7,唐揚げ,400,1
25,10,ビール（大）,700,1
26,2,チャーシューメン,1000,1
26,14,ライス（小）,150,1
27,4,塩ラーメン,800,1
27,8,枝豆,250,1
27,9,ビール（中）,500,1
27,19,バター,100,1
28,2,チャーシューメン,1000,1
28,7,唐揚げ,400,1
28,10,ビール（大）,700,1
28,15,ライス（大）,200,1
29,5,チャーハン,750,1
29,8,枝豆,250,1
30,4,塩ラーメン,800,1
30,6,餃子,300,1
31,3,味噌ラーメン,850,1
31,19,バター,100,1
32,4,塩ラーメン,800,1
32,7,唐揚げ,400,1
32,9,ビール（中）,500,1
32,18,コーン,100,1
33,1,ラーメン,800,1
34,2,チャーシューメン,1000,1
34,6,餃子,300,1
34,14,ライス（小）,150,1
35,5,チャーハン,750,1
35,18,コーン,100,1
36,3,味噌ラーメン,850,1
36,8,枝豆,250,1
36,11,ハイボール,450,1
36,19,バター,100,1
37,1,ラーメン,800,1
37,8,枝豆,250,1
38,3,味噌ラーメン,850,1
38,7,唐揚げ,400,1
39,5,チャーハン,750,1
40,5,チャーハン,750,1
40,8,枝豆,250,1
40,10,ビール（大）,700,1
40,14,ライス（小）,150,1
41,3,味噌ラーメン,850,1
41,19,バター,100,1
42,3,味噌ラーメン,850,1
42,17,半熟卵,100,1
43,3,味噌ラーメン,850,1
43,19,バター,100,1
44,5,チャーハン,750,1
44,6,餃子,300,1
45,3,味噌ラーメン,850,1
45,10,ビール（大）,700,1
45,16,替え玉,100,1
46,3,味噌ラーメン,850,1
46,6,餃子,300,1
46,18,コーン,100,1
47,2,チャーシューメン,1000,1
47,10,ビール（大）,700,1
48,2,チャーシューメン,1000,1
48,12,ウーロン茶,250,1
49,2,チャーシューメン,1000,1
49,9,ビール（中）,500,1
50,3,味噌ラーメン,850,1
50,19,バター,100,1
51,1,ラーメン,800,1
51,13,コーラ,250,1
51,20,チーズトッピング,150,1
52,3,味噌ラーメン,850,1
52,7,唐揚げ,400,1
52,13,コーラ,250,1
52,19,バター,100,1
53,5,チャーハン,750,1
53,8,枝豆,250,1
53,9,ビール（中）,500,1
54,2,チャーシューメン,1000,1
54,6,餃子,300,1
55,3,味噌ラーメン,850,1
55,19,バター,100,1
56,4,塩ラーメン,800,1
56,10,ビール（大）,700,1
57,1,ラーメン,800,1
57,6,餃子,300,1
57,19,バター,100,1
58,2,チャーシューメン,1000,1
59,5,チャーハン,750,1
59,20,チーズトッピング,150,1
60,2,チャーシューメン,1000,1
60,6,餃子,300,1
60,12,ウーロン茶,250,1
61,5,チャーハン,750,1
61,8,枝豆,250,1
61,12,ウーロン茶,250,1
61,19,バター,100,1
62,4,塩ラーメン,800,1
62,8,枝豆,250,1
62,15,ライス（大）,200,1
63,2,チャーシューメン,1000,1
64,5,チャーハン,750,1
64,8,枝豆,250,1
64,20,チーズトッピング,150,1
65,2,チャーシューメン,1000,1
65,13,コーラ,250,1
65,15,ライス（大）,200,1
66,3,味噌ラーメン,850,1
66,7,唐揚げ,400,1
66,13,コーラ,250,1
66,15,ライス（大）,200,1
67,2,チャーシューメン,1000,1
67,7,唐揚げ,400,1
67,12,ウーロン茶,250,1
